player_name,jersey,position,goals,assists,penalty_minutes,star_of_game,team,game_id
Megan Keller,5,D,1,0,0,2.0,Scotiabank,scotiabank-vs-sonnet
Rebecca Johnston,6,F,1,0,0,,Scotiabank,scotiabank-vs-sonnet
Nicole Kosta,7,F,0,0,0,,Scotiabank,scotiabank-vs-sonnet
Hayley Lunny,8,F,0,0,0,,Scotiabank,scotiabank-vs-sonnet
Shannon Stewart,10,F,0,0,0,,Scotiabank,scotiabank-vs-sonnet
Tatum Skaggs,11,F,0,0,0,,Scotiabank,scotiabank-vs-sonnet
Kelly Pannek,12,F,0,1,0,,Scotiabank,scotiabank-vs-sonnet
Jaime Bourbonnais,14,D,0,1,0,,Scotiabank,scotiabank-vs-sonnet
Mélodie Daoust,15,F,0,0,0,,Scotiabank,scotiabank-vs-sonnet
Katelyn Gosling,16,D,0,0,0,,Scotiabank,scotiabank-vs-sonnet
Ella Shelton,17,D,0,0,0,,Scotiabank,scotiabank-vs-sonnet
Mélanie Desrochers,18,D,0,0,0,,Scotiabank,scotiabank-vs-sonnet
Madison Field,22,F,0,0,0,,Scotiabank,scotiabank-vs-sonnet
Alex Carpenter,25,F,0,0,0,,Scotiabank,scotiabank-vs-sonnet
Emerance Maschmeyer,38,G,0,0,0,,Scotiabank,scotiabank-vs-sonnet
Blayre Turnbull,40,F,0,1,0,,Scotiabank,scotiabank-vs-sonnet
Grace Graham,42,F,0,0,0,,Scotiabank,scotiabank-vs-sonnet
Victoria Bach,51,F,0,0,0,,Scotiabank,scotiabank-vs-sonnet
Cat Quirion,26,D,0,0,0,,Scotiabank,scotiabank-vs-sonnet
Emily Brown,2,D,0,0,2,,Sonnet,scotiabank-vs-sonnet
Leah Bohlken,4,D,0,0,0,,Sonnet,scotiabank-vs-sonnet
Iya Gavrilova,8,F,0,0,2,,Sonnet,scotiabank-vs-sonnet
Hanna Bunton,9,F,0,0,0,,Sonnet,scotiabank-vs-sonnet
Alexa Vasko,10,F,1,0,0,,Sonnet,scotiabank-vs-sonnet
Abby Roque,11,F,1,0,0,,Sonnet,scotiabank-vs-sonnet
Samantha Cogan,17,F,0,1,0,,Sonnet,scotiabank-vs-sonnet
Malia Schneider,18,F,0,0,0,,Sonnet,scotiabank-vs-sonnet
Brianne Jenner,19,F,1,2,0,1.0,Sonnet,scotiabank-vs-sonnet
Hannah Brandt,20,F,0,0,0,,Sonnet,scotiabank-vs-sonnet
Hilary Knight,21,F,0,1,0,,Sonnet,scotiabank-vs-sonnet
Erin Ambrose,23,D,1,0,0,2.0,Sonnet,scotiabank-vs-sonnet
Emma Buckles,25,D,0,0,0,,Sonnet,scotiabank-vs-sonnet
Micah Zandee-Hart,28,D,0,0,0,,Sonnet,scotiabank-vs-sonnet
Nicole Hensley,29,G,0,0,0,,Sonnet,scotiabank-vs-sonnet
Natasza Tarnowski,33,F,0,0,0,,Sonnet,scotiabank-vs-sonnet
Rebecca Leslie,37,F,0,0,0,,Sonnet,scotiabank-vs-sonnet
Claire Thompson,42,D,0,0,0,,Sonnet,scotiabank-vs-sonnet
Demi Crossman,82,F,0,0,2,,Sonnet,scotiabank-vs-sonnet
Lee Stecklein,2,D,0,0,0,,Harvey's,team-harveys-vs-team-adidas
Lauriane Rougeau,5,D,0,0,0,,Harvey's,team-harveys-vs-team-adidas
Laura Fortino,8,D,0,0,0,,Harvey's,team-harveys-vs-team-adidas
Jessie Eldridge,9,F,0,0,0,,Harvey's,team-harveys-vs-team-adidas
Rhianna Kurio,10,F,0,0,0,,Harvey's,team-harveys-vs-team-adidas
Sophia Shaver,11,F,0,0,0,,Harvey's,team-harveys-vs-team-adidas
Alexa Gruschow,12,F,0,0,0,,Harvey's,team-harveys-vs-team-adidas
Clair DeGeorge,14,F,0,0,0,,Harvey's,team-harveys-vs-team-adidas
Savannah Harmon,15,D,0,0,0,,Harvey's,team-harveys-vs-team-adidas
Hayley Scamurra,16,F,0,1,0,,Harvey's,team-harveys-vs-team-adidas
Alexandra Poznikoff,19,F,0,1,2,,Harvey's,team-harveys-vs-team-adidas
Emily Clark,26,F,0,1,0,,Harvey's,team-harveys-vs-team-adidas
Kristen Richards,27,D,0,1,0,,Harvey's,team-harveys-vs-team-adidas
Marie-Philip Poulin,29,F,1,0,0,,Harvey's,team-harveys-vs-team-adidas
Ann-Renée Desbiens,35,G,0,0,0,,Harvey's,team-harveys-vs-team-adidas
Jamie Lee Rattray,47,F,1,0,0,3.0,Harvey's,team-harveys-vs-team-adidas
Bailey Larson,61,F,0,0,0,,Harvey's,team-harveys-vs-team-adidas
Karell Emard,76,F,0,0,0,,Harvey's,team-harveys-vs-team-adidas
Rosalie Demers,81,F,0,0,0,,Harvey's,team-harveys-vs-team-adidas
Jocelyne Larocque,3,D,0,0,2,,adidas,team-harveys-vs-team-adidas
Laura Stacey,7,F,0,1,0,,adidas,team-harveys-vs-team-adidas
Megan Eady,8,D,0,0,0,,adidas,team-harveys-vs-team-adidas
Kayla Vespa,10,F,0,0,2,,adidas,team-harveys-vs-team-adidas
Jill Saulnier,11,F,0,1,0,,adidas,team-harveys-vs-team-adidas
Meaghan Mikkelson,12,D,0,0,0,,adidas,team-harveys-vs-team-adidas
Renata Fast,14,D,0,0,4,,adidas,team-harveys-vs-team-adidas
Kaitlin Willoughby,17,F,0,0,0,,adidas,team-harveys-vs-team-adidas
Halli Krzyzaniak,18,D,0,0,0,,adidas,team-harveys-vs-team-adidas
Jincy Dunne,19,D,0,0,0,,adidas,team-harveys-vs-team-adidas
Sarah Nurse,20,F,0,0,0,,adidas,team-harveys-vs-team-adidas
Kelly Gribbons,21,F,1,0,0,,adidas,team-harveys-vs-team-adidas
Jessica DiGirolamo,23,D,0,1,0,,adidas,team-harveys-vs-team-adidas
Kendall Coyne Schofield,26,F,1,0,0,2.0,adidas,team-harveys-vs-team-adidas
Samantha Donovan,32,F,0,2,0,,adidas,team-harveys-vs-team-adidas
Aerin Frankel,33,G,0,0,0,,adidas,team-harveys-vs-team-adidas
Maddie Rooney,35,G,0,0,0,,adidas,team-harveys-vs-team-adidas
Kristin O’Neill,43,F,0,0,0,,adidas,team-harveys-vs-team-adidas
Sarah Potomak,44,F,2,0,0,1.0,adidas,team-harveys-vs-team-adidas
Laura Dostaler,72,F,0,1,0,,adidas,team-harveys-vs-team-adidas
Jocelyne Larocque,3,D,0,0,2,,adidas,team-adidas-vs-team-scotiabank
Laura Stacey,7,F,0,0,0,,adidas,team-adidas-vs-team-scotiabank
Megan Eady,8,D,0,0,0,,adidas,team-adidas-vs-team-scotiabank
Kayla Vespa,10,F,0,0,0,,adidas,team-adidas-vs-team-scotiabank
