player_name,first_name,last_name,team_id,position,number,date_of_birth,age,home_town,college,player_page
Marlène Boissonnault,Marlène,Boissonnault,harveys,G,1,"June 19, 1997",25,"Dundee, NB",Cornell University,https://stats.pwhpa.com/player/marlene-boissonnault/
Makayla Langei,Makayla,Langei,scotiabank,D,2,"October 30, 1998",24,"East Grand Forks, MN",Bemidji State University,https://stats.pwhpa.com/player/makayla-langei/
Emily Brown,Emily,Brown,sonnet,D,2,"December 30, 1998",24,"Blaine, MN",University of Minnesota,https://stats.pwhpa.com/player/emily-brown/
Lee Stecklein,Lee,Stecklein,harveys,D,2,"April 23, 1994",28,"Roseville, MN",University of Minnesota,https://stats.pwhpa.com/player/lee-stecklein/
Jocelyne Larocque,Jocelyne,Larocque,adidas,D,3,"May 19, 1988",34,"Ste. Anne, MB",University of Minnesota Duluth,https://stats.pwhpa.com/player/jocelyne-larocque/
Leah Bohlken,Leah,Bohlken,sonnet,D,4,"September 13, 1997",25,"Moose Jaw, SK",University of Saskatchewan,https://stats.pwhpa.com/player/leah-bohlken/
Brigette Lacquette,Brigette,Lacquette,scotiabank,D,4,"November 10, 1992",30,"Mallard, MB / Cote First Nation, SK",University of Minnesota-Duluth,https://stats.pwhpa.com/player/brigette-lacquette/
Emily Curlett,Emily,Curlett,adidas,D,5,"March 4, 1999",23,"Columbiaville, MI",Robert Morris Univ. & Ohio State Univ.,https://stats.pwhpa.com/player/emily-curlett/
Megan Keller,Megan,Keller,scotiabank,D,5,"May 1, 1996",26,"Farmington Hills, MI",Boston College,https://stats.pwhpa.com/player/megan-keller/
Lauriane Rougeau,Lauriane,Rougeau,harveys,D,5,"April 12, 1990",32,"Beaconsfield, QC",Cornell University,https://stats.pwhpa.com/player/lauriane-rougeau/
Rebecca Johnston,Rebecca,Johnston,scotiabank,F,6,"September 24, 1989",33,"Sudbury, ON",Cornell University,https://stats.pwhpa.com/player/rebecca-johnston/
Nicole Kosta,Nicole,Kosta,scotiabank,F,7,"February 27, 1993",29,"Sudbury, ON",Cornell University,https://stats.pwhpa.com/player/nicole-kosta/
Laura Stacey,Laura,Stacey,adidas,F,7,"May 5, 1994",28,"Kleinburg, ON",Dartmouth College,https://stats.pwhpa.com/player/laura-stacey/
Iya Gavrilova,Iya,Gavrilova,sonnet,F,8,"September 3, 1987",35,"Krasnoyarsk, RUS",University of Minnesota Duluth & University of Calgary,https://stats.pwhpa.com/player/iya-gavrilova/
Laura Fortino,Laura,Fortino,harveys,D,8,"January 30, 1991",31,"Hamilton, ON",Cornell University,https://stats.pwhpa.com/player/laura-fortino/
Hayley Lunny,Hayley,Lunny,scotiabank,F,8,"July 9, 1999",23,"Bedford, NY",Providence College,https://stats.pwhpa.com/player/hayley-lunny/
Megan Eady,Megan,Eady,adidas,D,8,"January 15, 1993",29,"Renfrew, ON",Robert Morris Univ. & Univ. of Alberta,https://stats.pwhpa.com/player/megan-eady/
Hanna Bunton,Hanna,Bunton,sonnet,F,9,"May 7, 1995",27,"Belleville, ON",Cornell University,https://stats.pwhpa.com/player/hanna-bunton/
Jessie Eldridge,Jessie,Eldridge,harveys,F,9,"December 17, 1997",25,"Barrie, ON",Colgate University,https://stats.pwhpa.com/player/jessie-eldridge/
Rhianna Kurio,Rhianna,Kurio,harveys,F,10,"October 18, 1991",31,"Calgary, AB",Union College,https://stats.pwhpa.com/player/rhianna-kurio/
Shannon Stewart,Shannon,Stewart,scotiabank,F,10,"April 7, 1993",29,"Pickering, ON",Plattsburgh State,https://stats.pwhpa.com/player/shannon-stewart/
Alexa Vasko,Alexa,Vasko,sonnet,F,10,"February 7, 1999",23,"St. Catharines, ON",Mercyhurst University,https://stats.pwhpa.com/player/alexa-vasko/
Kayla Vespa,Kayla,Vespa,adidas,F,10,"April 1, 1997",25,"Hamilton, ON",St. Lawrence University,https://stats.pwhpa.com/player/kayla-vespa/
Jill Saulnier,Jill,Saulnier,adidas,F,11,"March 7, 1992",30,"Halifax, NS",Cornell University,https://stats.pwhpa.com/player/jill-saulnier/
Sophia Shaver,Sophia,Shaver,harveys,F,11,"April 3, 1997",25,"Wayzata, MN",University of Wisconsin - Madison,https://stats.pwhpa.com/player/sophia-shaver/
Tatum Skaggs,Tatum,Skaggs,scotiabank,F,11,"November 13, 1998",24,"Oconomowoc, WI",Ohio State University,https://stats.pwhpa.com/player/tatum-skaggs/
