player_name,first_name,last_name,team_id,position,games_played,goals,assists,points,penalty_minutes
Marie-Philip Poulin,Marie-Philip,Poulin,harveys,F,9,8,6,14,6
Rebecca Johnston,Rebecca,Johnston,scotiabank,F,9,6,5,11,4
Lee Stecklein,Lee,Stecklein,harveys,D,9,2,8,10,0
Jessie Eldridge,Jessie,Eldridge,harveys,F,9,3,7,10,0
Abby Roque,Abby,Roque,sonnet,F,9,6,4,10,4
Kendall Coyne Schofield,Kendall,Coyne,adidas,F,9,6,4,10,0
Blayre Turnbull,Blayre,Turnbull,scotiabank,F,9,3,7,10,8
Kristin O’Neill,Kristin,O’Neill,adidas,F,9,3,7,10,6
Brianne Jenner,Brianne,Jenner,sonnet,F,9,2,7,9,2
Emily Clark,Emily,Clark,harveys,F,9,3,6,9,2
Megan Keller,Megan,Keller,scotiabank,D,9,3,5,8,4
Laura Stacey,Laura,Stacey,adidas,F,9,5,3,8,4
Jamie Lee Rattray,Jamie,Lee,harveys,F,9,5,3,8,2
Laura Fortino,Laura,Fortino,harveys,D,9,1,5,6,2
Sarah Nurse,Sarah,Nurse,adidas,F,9,4,2,6,2
Sarah Potomak,Sarah,Potomak,adidas,F,7,2,4,6,4
Alexa Vasko,Alexa,Vasko,sonnet,F,9,4,1,5,2
Mélodie Daoust,Mélodie,Daoust,scotiabank,F,6,2,3,5,0
Hayley Scamurra,Hayley,Scamurra,harveys,F,7,2,3,5,4
Sophia Shaver,Sophia,Shaver,harveys,F,9,1,3,4,0
Jill Saulnier,Jill,Saulnier,adidas,F,9,0,4,4,4
Jaime Bourbonnais,Jaime,Bourbonnais,scotiabank,D,8,1,3,4,2
Clair DeGeorge,Clair,DeGeorge,harveys,F,9,1,3,4,2
Ella Shelton,Ella,Shelton,scotiabank,D,9,2,2,4,4
Alexandra Poznikoff,Alexandra,Poznikoff,harveys,F,7,2,2,4,2
Hilary Knight,Hilary,Knight,sonnet,F,7,1,3,4,0
Jessica DiGirolamo,Jessica,DiGirolamo,adidas,D,9,1,3,4,0
Kayla Vespa,Kayla,Vespa,adidas,F,8,0,3,3,4
Kaitlin Willoughby,Kaitlin,Willoughby,adidas,F,9,1,2,3,0
Jincy Dunne,Jincy,Dunne,adidas,D,9,1,2,3,4
Hannah Brandt,Hannah,Brandt,sonnet,F,9,2,1,3,2
Erin Ambrose,Erin,Ambrose,sonnet,D,9,2,1,3,6
Alex Carpenter,Alex,Carpenter,scotiabank,F,9,2,1,3,0
Natasza Tarnowski,Natasza,Tarnowski,sonnet,F,7,2,1,3,0
Bailey Larson,Bailey,Larson,harveys,F,9,1,2,3,2
Rosalie Demers,Rosalie,Demers,harveys,F,9,1,2,3,0
Makayla Langei,Makayla,Langei,scotiabank,D,4,0,2,2,2
Alexa Gruschow,Alexa,Gruschow,harveys,F,9,1,1,2,2
Katelyn Gosling,Katelyn,Gosling,scotiabank,D,9,0,2,2,2
Samantha Cogan,Samantha,Cogan,sonnet,F,9,1,1,2,0
Malia Schneider,Malia,Schneider,sonnet,F,8,0,2,2,2
Madison Field,Madison,Field,scotiabank,F,9,0,2,2,0
Jacquie Greco,Jacquie,Greco,harveys,D,5,0,2,2,2
Samantha Donovan,Samantha,Donovan,adidas,F,6,0,2,2,0
Rebecca Leslie,Rebecca,Leslie,sonnet,F,9,0,2,2,0
Victoria Bach,Victoria,Bach,scotiabank,F,9,1,1,2,6
Emily Brown,Emily,Brown,sonnet,D,9,0,1,1,8
Brigette Lacquette,Brigette,Lacquette,scotiabank,D,5,0,1,1,0
Lauriane Rougeau,Lauriane,Rougeau,harveys,D,9,1,0,1,0
Emily Curlett,Emily,Curlett,adidas,D,4,1,0,1,0
Hanna Bunton,Hanna,Bunton,sonnet,F,9,0,1,1,0
Shannon Stewart,Shannon,Stewart,scotiabank,F,9,1,0,1,0
Tatum Skaggs,Tatum,Skaggs,scotiabank,F,7,1,0,1,4
Kelly Pannek,Kelly,Pannek,scotiabank,F,9,0,1,1,2
Meaghan Mikkelson,Meaghan,Mikkelson,adidas,D,9,0,1,1,0
Savannah Harmon,Savannah,Harmon,harveys,D,9,0,1,1,4
Kelly Gribbons,Kelly,Gribbons,adidas,F,8,1,0,1,0
Jess Jones,Jess,Jones,adidas,F,5,0,1,1,0
Caroylne Prévost,Caroylne,Prévost,sonnet,F,7,0,1,1,0
Kristen Richards,Kristen,Richards,harveys,D,9,0,1,1,4
Micah Zandee-Hart,Micah,Zandee-Hart,sonnet,D,9,0,1,1,2
Claire Thompson,Claire,Thompson,sonnet,D,9,0,1,1,0
Laura Dostaler,Laura,Dostaler,adidas,F,7,0,1,1,0
Demi Crossman,Demi,Crossman,sonnet,F,5,0,1,1,2
Jocelyne Larocque,Jocelyne,Larocque,adidas,D,9,0,0,0,18
Leah Bohlken,Leah,Bohlken,sonnet,D,4,0,0,0,0
Nicole Kosta,Nicole,Kosta,scotiabank,F,9,0,0,0,6
Iya Gavrilova,Iya,Gavrilova,sonnet,F,7,0,0,0,2
Hayley Lunny,Hayley,Lunny,scotiabank,F,7,0,0,0,2
Megan Eady,Megan,Eady,adidas,D,7,0,0,0,2
Rhianna Kurio,Rhianna,Kurio,harveys,F,5,0,0,0,0
Nikki Nightengale,Nikki,Nightengale,sonnet,D,2,0,0,0,0
Renata Fast,Renata,Fast,adidas,D,9,0,0,0,8
Lillian Ribeirinha-Braga,Lillian,Ribeirinha-Braga,sonnet,D,3,0,0,0,2
Halli Krzyzaniak,Halli,Krzyzaniak,adidas,D,3,0,0,0,0
Mélanie Desrochers,Mélanie,Desrochers,scotiabank,D,2,0,0,0,2
Mellissa Channell,Mellissa,Channell,harveys,D,5,0,0,0,0
Natalie Spooner,Natalie,Spooner,scotiabank,F,0,0,0,0,0
Emma Buckles,Emma,Buckles,sonnet,D,9,0,0,0,2
Cat Quirion,Cat,Quirion,scotiabank,D,9,0,0,0,0
Amanda Kessel,Amanda,Kessel,adidas,F,0,0,0,0,0
Grace Graham,Grace,Graham,scotiabank,F,7,0,0,0,0
Ella Matteucci,Ella,Matteucci,sonnet,D,0,0,0,0,0
Karell Emard,Karell,Emard,harveys,F,5,0,0,0,2
